,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,2016 Suicide Rates
0,Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,9.2
1,Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,11.3
2,Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,13.3
3,Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,10.1
4,Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,13.8
5,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,10.4
6,Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,9.6
7,New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,11.6
8,Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,11.7
9,Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,11.7
10,Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,5.2
11,Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,11.4
12,Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,7.5
13,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,9.1
14,Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,6.1
15,Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,15.7
16,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,10.9
17,Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,10.4
18,Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,5.2
19,Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,7.9
20,Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,9.7
21,Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,4.4
22,Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,9.1
23,United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,2.7
24,Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,16.5
25,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,6.5
26,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,7.0
27,France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,12.1
28,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,12.9
29,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,3.4
30,Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,5.8
31,Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,6.1
32,Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,3.3
33,Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2.9
34,Suriname,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,23.2
35,Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2.2
36,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,5.7
37,Trinidad and Tobago,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,12.9
38,Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,10.1
39,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,13.5
40,Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,6.2
41,Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,11.9
42,Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,7.4
43,Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,5.5
44,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,7.2
45,Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,5.9
46,Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,14.3
47,Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,22.8
48,Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,13.4
49,Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,25.7
50,Belarus,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,21.4
51,Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,13.3
52,Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,5.1
53,Turkmenistan,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,7.2
54,Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,7.3
55,Libya,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,5.5
56,Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,17.2
57,Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,4.5
58,Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,9.3
59,Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,8.0
60,Estonia,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,14.4
61,Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2.0
62,Croatia,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,11.5
63,Somalia,5.44,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,8.3
64,Turkey,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,7.2
65,Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,3.7
66,Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,3.7
67,Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2.6
68,Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,3.7
69,China,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,8.0
70,Bhutan,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,11.6
71,Kyrgyzstan,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,9.1
72,Serbia,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,10.9
73,Bosnia and Herzegovina,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48406,6.4
74,Montenegro,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,7.9
75,Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,10.5
76,Morocco,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,3.1
77,Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,13.6
78,Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,3.1
79,Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,3.2
80,Portugal,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,8.6
81,Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,3.2
82,Greece,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,3.8
83,Tajikistan,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,3.3
84,Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,13.3
85,Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,17.3
86,Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,3.4
87,Zambia,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,11.3
88,Nepal,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,9.6
89,Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,5.6
90,Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,6.1
91,Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,16.1
92,Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,4.1
93,Namibia,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,11.5
94,Cameroon,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,19.5
95,Ethiopia,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,11.4
96,South Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,12.8
97,Sri Lanka,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,14.2
98,India,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,16.5
99,Myanmar,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,8.1
100,Egypt,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,4.4
101,Armenia,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,5.7
102,Kenya,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,5.6
103,Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,18.5
104,Ghana,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,8.7
105,Georgia,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,6.7
106,Senegal,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,11.8
107,Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,7.9
108,Mauritania,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,7.5
109,Zimbabwe,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,19.1
110,Malawi,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,7.8
111,Sudan,4.139,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,2.10995,9.5
112,Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,9.6
113,Mali,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,8.9
114,Haiti,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,12.2
115,Botswana,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,11.5
116,Comoros,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,11.1
117,Cambodia,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,5.9
118,Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,8.9
119,Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,9.0
120,South Sudan,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,6.1
121,Chad,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,15.5
122,Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,14.8
123,Uganda,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,20.0
124,Yemen,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,9.8
125,Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,6.9
126,Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,13.4
127,Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,10.5
128,Rwanda,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,11.0
129,Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,15.7
130,Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,6.4
131,Togo,3.303,0.28123,0.0,0.24811,0.34678,0.11587,0.17517,2.1354,16.6
132,Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,15.0
